function,backend,samples,mean_abs_err,max_abs_err,containment_rate,mean_width,time_ms,notes,sweep_sample,sweep_seed,wall_s,peak_rss_mb,run_dir
sin,jax_rigorous,64,3.30182e-13,4.99822e-13,0,1.23051e-06,0.167196,,64,1,7.570758,656.062500,/home/phili/projects/arbplusJAX/examples/outputs/example_core_scalar_surface/cpu_profile/samples_64_seed_1
sin,scipy,64,3.30182e-13,4.99822e-13,1,,0.003604,,64,1,7.570758,656.062500,/home/phili/projects/arbplusJAX/examples/outputs/example_core_scalar_surface/cpu_profile/samples_64_seed_1
sin,jax_point,64,3.30182e-13,4.99822e-13,1,,0.121317,,64,1,7.570758,656.062500,/home/phili/projects/arbplusJAX/examples/outputs/example_core_scalar_surface/cpu_profile/samples_64_seed_1
sin,mpmath,64,3.30182e-13,4.99822e-13,1,,1.3488,,64,1,7.570758,656.062500,/home/phili/projects/arbplusJAX/examples/outputs/example_core_scalar_surface/cpu_profile/samples_64_seed_1
sin,boost,64,3.30182e-13,4.99822e-13,1,,5.76071,,64,1,7.570758,656.062500,/home/phili/projects/arbplusJAX/examples/outputs/example_core_scalar_surface/cpu_profile/samples_64_seed_1
tan,c_arb,64,,,,2.8945e-06,0.074825,,64,1,7.570758,656.062500,/home/phili/projects/arbplusJAX/examples/outputs/example_core_scalar_surface/cpu_profile/samples_64_seed_1
tan,jax_basic,64,1.65341e-17,2.22045e-16,0,2.8945e-06,0.266045,,64,1,7.570758,656.062500,/home/phili/projects/arbplusJAX/examples/outputs/example_core_scalar_surface/cpu_profile/samples_64_seed_1
tan,jax_adaptive,64,9.97334e-13,4.88964e-12,0,2.8945e-06,0.202223,,64,1,7.570758,656.062500,/home/phili/projects/arbplusJAX/examples/outputs/example_core_scalar_surface/cpu_profile/samples_64_seed_1
tan,jax_rigorous,64,9.97334e-13,4.88964e-12,0,2.89451e-06,0.190386,,64,1,7.570758,656.062500,/home/phili/projects/arbplusJAX/examples/outputs/example_core_scalar_surface/cpu_profile/samples_64_seed_1
tan,scipy,64,9.97334e-13,4.88964e-12,1,,0.002753,,64,1,7.570758,656.062500,/home/phili/projects/arbplusJAX/examples/outputs/example_core_scalar_surface/cpu_profile/samples_64_seed_1
tan,jax_point,64,9.97334e-13,4.88964e-12,1,,0.120734,,64,1,7.570758,656.062500,/home/phili/projects/arbplusJAX/examples/outputs/example_core_scalar_surface/cpu_profile/samples_64_seed_1
tan,mpmath,64,9.97334e-13,4.88964e-12,1,,1.28094,,64,1,7.570758,656.062500,/home/phili/projects/arbplusJAX/examples/outputs/example_core_scalar_surface/cpu_profile/samples_64_seed_1
tan,boost,64,9.97334e-13,4.88964e-12,1,,6.93198,,64,1,7.570758,656.062500,/home/phili/projects/arbplusJAX/examples/outputs/example_core_scalar_surface/cpu_profile/samples_64_seed_1
log,c_arb,64,,,,2.51774e-06,0.071381,,64,1,7.570758,656.062500,/home/phili/projects/arbplusJAX/examples/outputs/example_core_scalar_surface/cpu_profile/samples_64_seed_1
log,jax_basic,64,4.81521e-17,2.22045e-16,0,2.51774e-06,0.273626,,64,1,7.570758,656.062500,/home/phili/projects/arbplusJAX/examples/outputs/example_core_scalar_surface/cpu_profile/samples_64_seed_1
log,jax_adaptive,64,2.12253e-12,4.45293e-11,0,2.51774e-06,0.193046,,64,1,7.570758,656.062500,/home/phili/projects/arbplusJAX/examples/outputs/example_core_scalar_surface/cpu_profile/samples_64_seed_1
